counter,latitude,longitude,idx
66,3996147,11640163,217
63,3990232,11647177,218
58,3994556,11652574,219
49,3995586,11636511,220
12,4006611,11641863,221
20,3981368,11645044,222
52,4004947,11660843,223
56,3995490,11645215,224
26,3996557,11646686,225
66,3997898,11630226,226
22,3967962,11631468,227
32,3999421,11646746,228
29,3992647,11646076,229
44,3976510,11640303,230
66,3987463,11628005,231
65,3996771,11639271,232
42,3988242,11642038,233
30,3991449,11624681,234
30,4003987,11625424,235
30,4012709,11664768,236
20,3996402,11630132,237
34,3992646,11664741,238
48,3987171,11640735,239
75,3994817,11644139,240
30,3987466,11643964,241
24,4000072,11626321,242
38,3992733,11664212,243
42,4008798,11633393,244
82,3996610,11634201,245
28,3992752,11643736,246
34,4006999,11631317,247
59,4005360,11661017,248
62,3989143,11664186,249
35,3979156,11639164,250
30,3997495,11633332,251
22,4037822,11685291,252
66,3997152,11637861,253
63,3992172,11643482,254
40,3989189,11631385,255
42,4000833,11640995,256
12,3995584,11645169,257
37,3991386,11636264,258
56,4006473,11640724,259
54,4000808,11652084,260
66,3971395,11639679,261
50,3992129,11627857,262
16,3990454,11622794,263
24,3999749,11634649,264
40,3999237,11642310,265
38,3998373,11646441,266
14,4006943,11658489,267
48,3995328,11634656,268
42,3987183,11641034,269
62,4032016,11663252,270
54,3998609,11632722,271
66,3987486,11644047,272
66,3992235,11645581,273
42,3991689,11669563,274
14,4000004,11645147,275
59,3991555,11619741,276
48,3993114,11630697,277
45,3990709,11631491,278
62,3996262,11643633,279
35,3981312,11629856,280
50,3986405,11625839,281
28,3998152,11648370,282
29,3986366,11623891,283
59,3999362,11635867,284
34,3988727,11631283,285
62,3989528,11631692,286
27,3988038,11645003,287
57,3996539,11645156,288
26,3995585,11646178,289
44,3975786,11635771,290
42,3987178,11640713,291
20,3988289,11642233,292
55,3988638,11645116,293
45,3995646,11648199,294
61,3989436,11638845,295
49,3983493,11636451,296
52,3996567,11640307,297
49,3996016,11644817,298
30,3991634,11644071,299
70,3998032,11635449,300
35,3991750,11619930,301
59,3992327,11626501,302
33,3991014,11636078,303
14,3973010,11631910,304
28,3989248,11634692,305
50,4000955,11633763,306
46,3993156,11645535,307
19,3976458,11668350,308
25,3989899,11640056,309
64,4032242,11663181,310
16,4005343,11661047,311
18,3986764,11645446,312
52,4004419,11642716,313
56,3995355,11635524,314
18,3998868,11639540,315
38,3992559,11652737,316
28,3990649,11645153,317
48,3994840,11633137,318
18,3985249,11635554,319
39,3991685,11645357,320
20,3996458,11637361,321
34,4004618,11633802,322
54,4031583,11663985,323
82,3998999,11635907,324
40,3989317,11645560,325
75,3999729,11628385,326
24,4000753,11645815,327
68,3989599,11645500,328
30,3985675,11629681,329
70,3994053,11634972,330
24,4007868,11658658,331
54,3998281,11630397,332
14,3997835,11641824,333
59,3991556,11619635,334
44,4020569,11622793,335
10,3987092,11634013,336
40,3993184,11638254,337
68,4020854,11623179,338
66,3992279,11641215,339
63,3991907,11645012,340
62,3986565,11641058,341
34,3983148,11637510,342
56,3999748,11640383,343
67,4004890,11632260,344
62,3987613,11648326,345
34,3995618,11641894,346
25,3999382,11647641,347
64,4031113,11662831,348
17,3993198,11638703,349
47,3995046,11641903,350
71,3998037,11635418,351
30,3974882,11630573,352
66,4000889,11646693,353
53,3996085,11632117,354
17,4005339,11660892,355
18,3996775,11640740,356
22,3998153,11645046,357
28,3996622,11647110,358
24,3990109,11636223,359
