,index,id,counter,num,time,latitude,longitude,load,center_idx
111,415613,d62d594d71b4b29e0317cb4bd7ee3c54,46,6408,2016-09-01 19:54:40,39.90389,116.44541,1,2353
112,197756,66dfc1436df28cc1dee3bb451a431200,52,6391,2016-09-01 11:34:21,40.37176,116.86324,1,27
113,190123,62ded7fcbd5cfd5b469c792a4904b0e0,53,6407,2016-09-01 09:45:56,40.33767,116.73433,0,1554
114,142930,4b1284e4ed37e12201e6807821409f20,57,6361,2016-09-01 22:14:45,39.86958,116.38394,0,3512
115,264290,87e89a0c00d27f0beba075e634a1ce4f,28,6374,2016-09-01 19:29:44,39.94216,116.31881,1,2577
116,317660,a32cd1f6a1314ab338702098c372b395,49,6406,2016-09-01 12:53:08,39.9327,116.40244,0,1300
117,185751,609470363cb23e416797d0397a2415a3,18,6373,2016-09-01 06:00:14,39.88959,116.42295,1,3081
118,448277,e7902e89cc44f1d29a93d43b8afb0d2a,31,6378,2016-09-01 20:41:29,39.91324,116.45365,1,28
119,481066,f8d0c08df9c283e1e49ce706cd1f64c3,37,6409,2016-09-01 10:28:02,39.95631,116.44539,1,509
120,336441,acd3985365dfc58d48e7bb804f07f60c,30,6363,2016-09-01 13:44:12,39.90771,116.4534,0,29
121,489778,fd5abf4ebb4c9b7f3b8a84d7771d59a8,69,6415,2016-09-01 22:29:08,39.81094,116.36144,1,2157
122,39064,150b69de03f9572ca8c0f87fba3e6f94,60,6381,2016-09-01 16:45:05,39.91836,116.27742,1,30
123,140874,49e6111b0f60b2d51b6008160c6e64e1,20,6363,2016-09-01 15:08:37,39.98854,116.39805,0,768
124,430708,ddef15f2f7caf9b2ff734772cc29eae3,52,6381,2016-09-01 14:51:51,39.90697,116.46642,0,31
125,359516,b89972efec1a33c35bcb33a425188aa9,36,6410,2016-09-01 10:45:57,39.9441,116.3661,0,18
126,353056,b53a109f126505c42261c35427fe218f,28,6404,2016-09-01 12:22:33,39.90973,116.47214,0,32
127,36888,13df689855d9b8a4392ea5f6955f2ea0,87,6381,2016-09-01 10:55:16,39.97414,116.41813,0,3441
128,379786,c2c6183fbebf7f2305f09bea9073cac6,26,6374,2016-09-01 10:41:50,39.89689,116.31474,0,591
129,283731,91de711f12a9bbcd97e1262020b4cf49,44,6409,2016-09-01 22:44:09,39.75547,116.30909,1,33
130,223878,7446c08c290f4b7eb5b59f3f1ba87796,41,6410,2016-09-01 18:32:58,39.91734,116.40468,0,34
131,208756,6c6a2c84fa475e10d22fc52a3f036d11,51,6418,2016-09-01 10:13:41,39.9389,116.43831,1,1619
132,358446,b7f028782629c9338d67e9c4d971d8a4,49,6361,2016-09-01 16:54:06,39.97583,116.48363,0,35
133,92979,2fb4212e8b83a0e8a535568e9dd40609,57,6373,2016-09-01 21:27:10,39.96641,116.36167,1,1053
134,373372,bfac32631043e6978d88f10dfd605487,24,6361,2016-09-01 14:30:24,39.98175,116.46592,1,2768
135,100352,33f03dfefc326533cab13e71d4fc3be9,38,6374,2016-09-01 20:35:41,39.97906,116.36344,1,36
136,123238,4096356e05be238dbb52f9f97adb98c9,78,6412,2016-09-01 00:35:18,39.92215,116.33667,0,2996
137,249334,80fcfe2d742ae5b10a80d687f591c825,44,6378,2016-09-01 10:36:44,39.8851,116.67731,1,533
138,100027,33c929ef861972d38dccd18c877d7497,49,6376,2016-09-01 00:39:53,39.98365,116.34752,1,1734
139,165727,56c4e49408618b39c4b6a657f71a093a,22,6668,2016-09-01 19:58:30,39.92461,116.52096,0,744
140,72686,2574fe52998e7dbf56d9fb44b19f6a80,48,6381,2016-09-01 05:43:14,39.89578,116.40923,0,1278
141,13724,074b1351c8009e7c21418fc5c11e225a,42,6410,2016-09-01 14:28:02,39.89197,116.45591,1,37
142,412644,d485d1d27017f755ce5fce8142047eea,43,6378,2016-09-01 06:56:58,39.89398,116.49853,1,2239
143,359487,b898eb5e3af260e19d9cde76be54e975,42,6413,2016-09-01 20:03:32,39.7522,116.60566,1,38
144,242682,7d5bd0c05be4f82ec6675172d38eb90a,38,6389,2016-09-01 12:58:41,39.79356,116.50809,1,575
145,11983,0654d1851e0a32cf25b722383ca3641f,56,6381,2016-09-01 18:32:45,39.88903,116.47156,1,1648
146,353530,b56e8d8f22d8b40e7fa4d2322d1b341a,96,6414,2016-08-25 06:36:23,40.00498,116.40855,1,3213
147,421110,d8f9f8f32506514489273fa898a85a4c,34,6378,2016-09-01 10:36:58,40.0508,116.30435,1,2510
148,245220,7ece80c927a3897666b7a691403b001c,43,6364,2016-09-01 02:45:30,40.05357,116.58673,0,1419
149,430431,ddce4a64c94341faa83ceb7a01d6a8b6,38,6381,2016-09-01 15:09:09,39.91399,116.4349,1,3065
150,104405,35fc48761842914eae87117b17469ffa,28,6381,2016-09-01 12:45:17,39.83481,116.27796,0,39
151,329760,a98d2791e46e91d0c2413f7de980857f,65,6374,2016-09-01 11:23:08,39.76135,116.10719,0,2006
152,357434,b77592c15571537ea6ea1775aa6f001a,17,6378,2016-09-01 08:45:45,39.90855,116.67224,0,533
153,177469,5cb5bcfdc064230a6cb9f1c31f46d7c8,50,6413,2016-09-01 06:59:37,39.97564,116.33175,0,40
154,445601,e65b607822595b9440ec04121decdf3b,56,6410,2016-09-01 09:28:11,39.9361,116.44925,0,41
155,99427,33589094c0e729aa0ec07c8af6e38978,30,6391,2016-09-01 15:19:26,40.36929,116.84498,1,42
156,257865,84e038e79165d7a9fc35e1af194a8d75,70,6410,2016-09-01 17:58:05,39.75016,116.38614,0,1985
157,232452,7866401b7b36e38e97756c97d8c7fbd6,31,6387,2016-09-01 00:20:59,39.94726,116.36524,1,2726
158,147685,4d7cbeaab91678cb3c3b6328a53964c0,54,6364,2016-09-01 08:50:30,39.97065,116.44208,1,43
159,226578,752c2e2eb36063a034479806d28eb3f4,74,6403,2016-09-01 23:45:06,39.95839,116.43519,1,1079
160,165958,56fb1b1b6cfe5dc5dfdeb016ca8f25db,45,6364,2016-09-01 20:18:57,39.8639,116.45492,0,44
161,150144,4e8455a12ac8094e7f55b19c19bb07d0,41,6406,2016-09-01 09:55:44,39.92629,116.28074,1,45
162,148467,4dd42543f7c978a191e5f72792246ed5,42,6363,2016-09-01 19:52:14,39.73988,116.5455,0,1428
163,303099,9bba54461ac75bcf4119fadbab93cc15,32,6406,2016-09-01 23:35:55,39.85612,116.22397,0,1430
164,471338,f3a59495ef44468c7c2aab494f18fa79,44,6415,2016-09-01 10:57:43,39.93136,116.40019,0,1725
165,393082,c9b6f825674f0a54b6c489850eeadc98,42,6378,2016-09-01 10:44:07,39.90353,116.45431,1,46
166,339946,aeb971cfda8b249fe05de7e83f2428b9,60,6410,2016-09-01 15:06:23,40.00826,116.52088,1,3485
167,487870,fc4ca60ac65469532009e36c6fa74d08,42,6378,2016-09-01 09:17:21,39.92354,116.34766,1,1734
168,50353,1abdf7b435deaf96d7a7250034cf80fd,44,6374,2016-09-01 13:11:03,39.95029,116.27852,1,47
169,262232,870d5e3f5e84ed6087761e2827ac06fd,64,6387,2016-09-01 15:24:30,39.99986,116.45866,1,2025
170,144637,4bf99e262570358ae5d9e7fcb84a7ad8,44,6374,2016-09-01 09:12:22,39.89053,116.40142,1,1725
171,216679,70c42c52685c3a88c81e717b78bd02a8,52,6382,2016-09-01 16:33:11,39.87493,116.44738,1,48
